城市id	城市名称	城市名称英文	市级名称	市级名称英文	省级名称	省级名称英文	国家名称	国家名称英文	经度	纬度	cityType
162	西丰县	Xifeng County, Tieling	铁岭市	Tieling	辽宁省	Liaoning	中国	China	124.7156118	42.734058	0
163	昌图县	Changtu County	铁岭市	Tieling	辽宁省	Liaoning	中国	China	124.1289231	42.7723948	0
164	调兵山市	Diaobingshan	铁岭市	Tieling	辽宁省	Liaoning	中国	China	123.55	42.47	0
165	铁法	Tiefa	铁岭市	Tieling	辽宁省	Liaoning	中国	China	123.5420194	42.44775833	0
167	朝阳市	Chaoyang	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	120.4561008	41.57877068	0
168	北票市	Beipiao	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	120.7646033	41.80841075	0
169	凌源市	Lingyuan	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	119.3982997	41.23965656	0
171	建平镇	Jianping Town	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	119.6454029	41.40479428	0
172	喀喇沁左翼蒙古族自治县	Harqin Left Wing Mongolian Autonomous County	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	119.7350255	41.12524417	0
173	调兵山市羊山镇	Yangshan Town, Diaobingshan	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	120.3765972	41.19046389	0
174	建平县	Jianping County	朝阳市	Chaoyang	辽宁省	Liaoning	中国	China	119.63	41.4	0
176	葫芦岛市	Huludao	葫芦岛市	Huludao	辽宁省	Liaoning	中国	China	120.8444999	40.74091375	0
177	兴城市	Xingcheng	葫芦岛市	Huludao	辽宁省	Liaoning	中国	China	120.7044054	40.61640065	0
178	绥中县	Suizhong County	葫芦岛市	Huludao	辽宁省	Liaoning	中国	China	120.3447253	40.32335315	0
179	建昌县	Jianchang County	葫芦岛市	Huludao	辽宁省	Liaoning	中国	China	119.7957003	40.80752185	0
182	长春市	Changchun	长春市	Changchun	吉林省	Jilin	中国	China	125.3500003	43.86666945	0
183	双阳区	Shuangyang District	长春市	Changchun	吉林省	Jilin	中国	China	125.6708801	43.52247753	0
184	九台区	Jiutai District	长春市	Changchun	吉林省	Jilin	中国	China	125.8324508	44.15416965	0
185	榆树市	Yushu, Changchun	长春市	Changchun	吉林省	Jilin	中国	China	126.5541261	44.82095228	0
186	德惠市	Dehui	长春市	Changchun	吉林省	Jilin	中国	China	125.7048826	44.52857288	0
187	农安县	Nongan County	长春市	Changchun	吉林省	Jilin	中国	China	125.1753252	44.4209875	0
189	吉林市	Jilin	吉林市	Jilin	吉林省	Jilin	中国	China	126.5670014	43.85085241	0
190	舒兰市	Shulan	吉林市	Jilin	吉林省	Jilin	中国	China	126.9468729	44.40779243	0
191	桦甸市	Huadian	吉林市	Jilin	吉林省	Jilin	中国	China	126.7435138	42.96538006	0
192	蛟河市	Jiaohe	吉林市	Jilin	吉林省	Jilin	中国	China	127.3408533	43.71819692	0
193	磐石市	Panshi	吉林市	Jilin	吉林省	Jilin	中国	China	126.0583722	42.93271322	0
194	永吉县	Yongji County	吉林市	Jilin	吉林省	Jilin	中国	China	126.4985797	43.65836037	0
195	烟筒山	Yantongshan	吉林市	Jilin	吉林省	Jilin	中国	China	126.031	43.2859	0
197	四平市	Siping	四平市	Siping	吉林省	Jilin	中国	China	124.3649469	43.16149282	0
198	公主岭市	Gongzhuling	长春市	Changchun	吉林省	Jilin	中国	China	124.8108084	43.50589735	0
199	双辽市	Shuangliao	四平市	Siping	吉林省	Jilin	中国	China	123.49197	43.511112	0
200	梨树县	Lishu County	四平市	Siping	吉林省	Jilin	中国	China	124.321909	43.30130511	0
201	伊通满族自治县	Yitong Manchu Autonomous County	四平市	Siping	吉林省	Jilin	中国	China	125.2944484	43.33710606	0
204	辽源市	Liaoyuan	辽源市	Liaoyuan	吉林省	Jilin	中国	China	125.1338888	42.90292028	0
205	东辽县	Dongliao County	辽源市	Liaoyuan	吉林省	Jilin	中国	China	124.979	42.909512	0
206	东丰县	Dongfeng County	辽源市	Liaoyuan	吉林省	Jilin	中国	China	125.52465	42.670563	0
208	通化市	Tonghua	通化市	Tonghua	吉林省	Jilin	中国	China	125.9294041	41.72085583	0
209	梅河口市	Meihekou	通化市	Tonghua	吉林省	Jilin	中国	China	125.68069	42.534595	0
210	集安市	Ji'an	通化市	Tonghua	吉林省	Jilin	中国	China	126.18375	41.12241	0
211	辉南县	Huinan County	通化市	Tonghua	吉林省	Jilin	中国	China	126.03673	42.680046	0
212	通化县	Tonghua County	通化市	Tonghua	吉林省	Jilin	中国	China	125.75433	41.679268	0
213	柳河县	Liuhe County	通化市	Tonghua	吉林省	Jilin	中国	China	125.72972	42.270134	0
215	白山市	Baishan	白山市	Baishan	吉林省	Jilin	中国	China	126.4151101	41.92996026	0
216	靖宇县	Jingyu County	白山市	Baishan	吉林省	Jilin	中国	China	126.8023391	42.39064902	0
217	抚松县	Fusong County	白山市	Baishan	吉林省	Jilin	中国	China	127.26592	42.32552	0
218	长白朝鲜族自治县	Changbai Korean Autonomous County	白山市	Baishan	吉林省	Jilin	中国	China	128.1925	41.420891	0
219	东岗镇	Donggang Town	白山市	Baishan	吉林省	Jilin	中国	China	127.95	42.16666666	0
220	临江市	Linjiang	白山市	Baishan	吉林省	Jilin	中国	China	126.9286093	41.82223357	0
221	江源区	Jiangyuan District	白山市	Baishan	吉林省	Jilin	中国	China	126.5911444	42.05677222	0
223	白城市	Baicheng	白城市	Baicheng	吉林省	Jilin	中国	China	122.8399156	45.61492847	0
224	洮南市	Taonan	白城市	Baicheng	吉林省	Jilin	中国	China	122.77431	45.337811	0
225	大安市	Daan	白城市	Baicheng	吉林省	Jilin	中国	China	124.28724	45.500519	0
226	镇赉县	Zhenlai County	白城市	Baicheng	吉林省	Jilin	中国	China	123.20025	45.841965	0
227	通榆县	Tongyu County	白城市	Baicheng	吉林省	Jilin	中国	China	123.08252	44.800243	0
229	松原市	Songyuan	松原市	Songyuan	吉林省	Jilin	中国	China	124.8028746	45.18003893	0
231	扶余市	Fuyu	松原市	Songyuan	吉林省	Jilin	中国	China	126.024736	44.99182659	0
232	长岭县	Changling County	松原市	Songyuan	吉林省	Jilin	中国	China	123.9887992	44.27313993	0
233	乾安县	Qian'an County	松原市	Songyuan	吉林省	Jilin	中国	China	124.0199561	44.99310122	0
234	前郭尔罗斯蒙古族自治县	Qian Gorlos Mongolian Autonomous County	松原市	Songyuan	吉林省	Jilin	中国	China	124.8336423	45.11134267	0
236	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	129.5028482	42.93364449	0
237	延吉市	Yanji	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	129.5115995	42.90673053	0
238	图们市	Tumen	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	129.840107	42.95921299	0
239	敦化市	Dunhua	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	128.2281951	43.36235323	0
240	龙井市	Longjing	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	129.4246983	42.76901939	0
241	珲春市	Hunchun	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	130.3599026	42.86291338	0
242	和龙市	Helong	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	129.0084979	42.54220824	0
243	安图县	Antu County	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	128.9161157	43.10312273	0
244	汪清县	Wangqing County	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	129.7375998	43.31576462	0
245	二道白河镇	Erdao Baihe Town	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	128.2	42.7	0
246	安图县松江镇	Songjiang Town, Antu County	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	127.1992222	43.55284167	0
247	罗子沟镇	Luozigou Town	延边朝鲜族自治州	Yanbian Korean Autonomous Prefecture	吉林省	Jilin	中国	China	130.3512722	43.73074722	0
250	哈尔滨市	Harbin	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	126.6225811	45.75521417	0
252	呼兰区	Hulan District	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	126.601655	45.98623512	0
253	双城区	Shuangcheng District	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	126.32	45.53	0
254	尚志市	Shangzhi	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	127.95	45.22	0
255	五常市	Wuchang	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	127.17	44.93	0
256	阿城区	Acheng District	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	126.9654142	45.53882613	0
259	依兰县	Yilan County	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	129.5576538	46.30695793	0
260	方正县	Fangzheng County	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	128.8338838	45.82909069	0
261	宾县	Bin County, Harbin	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	127.48	45.75	0
262	巴彦县	Bayan County	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	127.38	46.08	0
263	木兰县	Mulan County	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	128.0449025	45.94198394	0
264	通河县	Tonghe County	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	128.7465921	45.96560485	0
265	延寿县	Yanshou County	哈尔滨市	Harbin	黑龙江省	Heilongjiang	中国	China	128.3415992	45.44410995	0
267	齐齐哈尔市	Qiqihar	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	123.9650286	47.34411388	0
271	讷河市	Nehe	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	124.8750646	48.48527525	0
272	龙江县	Longjiang County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	123.1785049	47.33755581	0
273	依安县	Yian County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	125.3039555	47.87612511	0
274	泰来县	Taylor County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	123.4101046	46.38806001	0
275	甘南县	Gannan County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	123.5071157	47.91464509	0
276	富裕县	Fuyu County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	124.4487286	47.78974146	0
277	克山县	Keshan County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	125.8708715	48.0224788	0
278	克东县	Kedong County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	126.2515585	48.02852871	0
279	拜泉县	Baiquan County	齐齐哈尔市	Qiqihar	黑龙江省	Heilongjiang	中国	China	126.088871	47.59374199	0
281	鸡西市	Jixi	鸡西市	Jixi	黑龙江省	Heilongjiang	中国	China	130.9705864	45.28200902	0
287	虎林市	Hulin	鸡西市	Jixi	黑龙江省	Heilongjiang	中国	China	132.93721	45.76934505	0
288	密山市	Mishan	鸡西市	Jixi	黑龙江省	Heilongjiang	中国	China	131.8620168	45.53742234	0
289	鸡东县	Jidong County	鸡西市	Jixi	黑龙江省	Heilongjiang	中国	China	131.1733219	45.24746531	0
291	鹤岗市	Hegang	鹤岗市	Hegang	黑龙江省	Heilongjiang	中国	China	130.2786936	47.32627801	0
292	萝北县	Luobei County	鹤岗市	Hegang	黑龙江省	Heilongjiang	中国	China	130.8256572	47.56997615	0
293	绥滨县	Suibin County	鹤岗市	Hegang	黑龙江省	Heilongjiang	中国	China	131.8477949	47.27995119	0
295	双鸭山市	Shuangyashan	双鸭山市	Shuangyashan	黑龙江省	Heilongjiang	中国	China	131.1469662	46.62880192	0
299	集贤县	Jixian County	双鸭山市	Shuangyashan	黑龙江省	Heilongjiang	中国	China	131.1254124	46.7190336	0
300	宝清县	Baoqing County	双鸭山市	Shuangyashan	黑龙江省	Heilongjiang	中国	China	132.1969114	46.32551836	0
301	饶河县	Raohe County	双鸭山市	Shuangyashan	黑龙江省	Heilongjiang	中国	China	134.0162955	46.79560314	0
303	友谊县	Youyi County	双鸭山市	Shuangyashan	黑龙江省	Heilongjiang	中国	China	131.8	46.78	0
305	大庆市	Daqing	大庆市	Daqing	黑龙江省	Heilongjiang	中国	China	125.0157541	46.59328805	0
310	肇源县	Zhaoyuan, Daqing	大庆市	Daqing	黑龙江省	Heilongjiang	中国	China	125.0770174	45.51134383	0
311	肇州县	Zhaozhou	大庆市	Daqing	黑龙江省	Heilongjiang	中国	China	125.2682971	45.70420282	0
312	林甸县	Lindian County	大庆市	Daqing	黑龙江省	Heilongjiang	中国	China	124.8624794	47.17964311	0
314	杜尔伯特蒙古族自治县	Dorbod Mongol Autonomous County	大庆市	Daqing	黑龙江省	Heilongjiang	中国	China	124.4425472	46.86275	0
316	伊春市	Yichun, Heilongjiang	伊春市	Yichun, Heilongjiang	黑龙江省	Heilongjiang	中国	China	128.9060947	47.7191001	0
326	铁力市	Tieli	伊春市	Yichun, Heilongjiang	黑龙江省	Heilongjiang	中国	China	128.0593257	46.98638497	0
